"tick","Block","PorpoiseCount"
108.0,2,2008
108.0,0,0
108.0,1,7991
109.0,2,2004
109.0,0,0
109.0,1,7995
110.0,2,2004
110.0,0,0
110.0,1,7995
111.0,2,2001
111.0,0,0
111.0,1,7998
112.0,2,2001
112.0,0,0
112.0,1,7998
113.0,2,1997
113.0,0,0
113.0,1,8002
114.0,2,1997
114.0,0,0
114.0,1,8002
115.0,2,1998
115.0,0,0
115.0,1,8001
116.0,2,1996
116.0,0,0
116.0,1,8003
117.0,2,1998
117.0,0,0
117.0,1,8001
118.0,2,1998
118.0,0,0
118.0,1,8001
119.0,2,1998
119.0,0,0
119.0,1,8001
120.0,2,2001
120.0,0,0
120.0,1,7998
121.0,2,2005
121.0,0,0
121.0,1,7994
122.0,2,2004
122.0,0,0
122.0,1,7995
123.0,2,2002
123.0,0,0
123.0,1,7997
124.0,2,2002
124.0,0,0
124.0,1,7997
125.0,2,2007
125.0,0,0
125.0,1,7992
126.0,2,2009
126.0,0,0
126.0,1,7990
127.0,2,2005
127.0,0,0
127.0,1,7993
128.0,2,2003
128.0,0,0
128.0,1,7995
129.0,2,1997
129.0,0,0
129.0,1,8001
130.0,2,1989
130.0,0,0
130.0,1,8009
131.0,2,1995
131.0,0,0
131.0,1,8003
132.0,2,1995
132.0,0,0
132.0,1,8003
133.0,2,1995
133.0,0,0
133.0,1,8003
134.0,2,1992
134.0,0,0
134.0,1,8006
135.0,2,1996
135.0,0,0
135.0,1,8002
136.0,2,1996
136.0,0,0
136.0,1,8002
137.0,2,1999
137.0,0,0
137.0,1,7999
138.0,2,1994
138.0,0,0
138.0,1,8004
139.0,2,1990
139.0,0,0
139.0,1,8008
140.0,2,1994
140.0,0,0
140.0,1,8004
141.0,2,1990
141.0,0,0
141.0,1,8008
142.0,2,2001
142.0,0,0
142.0,1,7997
143.0,2,2001
143.0,0,0
143.0,1,7997
144.0,2,1996
144.0,0,0
144.0,1,8002
145.0,2,1994
145.0,0,0
145.0,1,8004
146.0,2,1993
146.0,0,0
146.0,1,8005
147.0,2,1996
147.0,0,0
147.0,1,8002
148.0,2,1999
148.0,0,0
148.0,1,7999
149.0,2,1998
149.0,0,0
149.0,1,8000
150.0,2,1999
150.0,0,0
150.0,1,7999
151.0,2,2001
151.0,0,0
151.0,1,7997
152.0,2,2001
152.0,0,0
152.0,1,7997
